,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2019-12-21-14-tulsa,67.6,25,1.8,1,107.2,78.7,37,0.611,72,0.514,37,0.431,31,0.742,23,6,275,114.4,33.3,12,19,111,,11.3,11,0.514,37,0.378,14,59.0,49,0.64,19.7,21,35,0.657,23,0.571,8,"December 21, 2019",59.5,22,5.7,2,114.4,66.7,24,0.512,84,0.44,37,0.298,25,0.72,18,4,275,107.2,21.3,10,24,104,,8.2,8,0.345,29,0.414,12,41.0,34,0.542,12.0,13,55,0.455,25,0.667,8,,TULSA,Tulsa,70.8,Away,COLORADO-STATE,Colorado State
2019-11-08-22-colorado,48.0,12,12.2,6,95.3,73.7,28,0.446,65,0.385,25,0.277,18,0.722,13,1,200,83.5,10.5,4,24,71,,11.8,10,0.308,20,0.4,8,42.1,32,0.483,18.0,16,45,0.378,17,0.0,0,"November 8, 2019",40.0,12,6.7,3,83.5,89.5,34,0.508,65,0.462,30,0.385,25,0.6,15,0,200,95.3,26.3,10,14,81,,7.1,6,0.246,16,0.375,6,57.9,44,0.527,19.1,18,49,0.49,24,1.0,1,"Baoshan Sports Center, Shanghai",ARIZONA-STATE,Arizona State,85.2,Home,COLORADO,Colorado
2019-11-16-22-colorado,52.6,10,12.5,4,102.9,63.9,23,0.409,55,0.345,19,0.182,10,0.8,8,3,200,76.8,21.9,7,20,53,,13.0,9,0.473,26,0.269,7,44.1,30,0.444,23.3,18,29,0.414,12,0.4,2,"November 16, 2019",56.5,13,13.8,4,76.8,78.1,25,0.509,56,0.411,23,0.375,21,0.667,14,0,200,102.9,36.1,13,12,71,25,15.9,11,0.429,24,0.458,11,55.9,38,0.538,18.7,15,32,0.375,12,1.0,2,"Coors Events/Conference Center, Boulder, Colorado",SAN-DIEGO,San Diego,69.4,Home,COLORADO,Colorado
2019-11-18-21-colorado,47.6,10,16.7,7,101.5,78.9,30,0.462,53,0.396,21,0.075,4,1.0,4,2,200,77.9,26.7,8,17,53,,8.8,6,0.264,14,0.5,7,55.9,38,0.483,28.7,22,39,0.359,14,0.6,3,"November 18, 2019",58.3,14,5.1,2,77.9,73.3,22,0.467,61,0.393,24,0.279,17,0.706,12,0,200,101.5,21.1,8,8,69,23,14.7,10,0.311,19,0.474,9,44.1,30,0.499,8.1,6,42,0.357,15,1.0,3,"Coors Events/Conference Center, Boulder, Colorado",CALIFORNIA-IRVINE,UC-Irvine,68.0,Home,COLORADO,Colorado
2019-11-24-20-wyoming,57.1,12,13.8,4,62.1,93.3,28,0.42,56,0.375,21,0.357,20,0.45,9,0,200,84.8,36.1,13,14,56,23,6.1,4,0.321,18,0.278,5,62.1,41,0.427,16.7,13,38,0.421,16,1.0,4,"November 24, 2019",46.7,7,0.0,0,84.8,63.9,23,0.383,47,0.319,15,0.149,7,0.714,5,4,200,62.1,6.7,2,19,41,,7.6,5,0.383,18,0.333,6,37.9,25,0.407,26.4,18,29,0.31,9,0.429,3,"T-Mobile Arena, Las Vegas, Nevada",WYOMING,Wyoming,65.9,Away,COLORADO,Colorado
2019-11-26-23-clemson,70.0,14,14.3,4,100.0,79.3,23,0.461,51,0.392,20,0.49,25,0.96,24,0,200,106.0,24.0,6,16,71,21,9.0,6,0.431,22,0.318,7,53.7,29,0.565,15.1,11,29,0.448,13,1.0,5,"November 26, 2019",80.0,16,10.3,3,106.0,76.0,19,0.49,49,0.408,20,0.449,22,0.864,19,2,200,100.0,20.7,6,21,67,,10.4,7,0.429,21,0.381,8,46.3,25,0.563,18.1,13,28,0.429,12,0.714,5,"T-Mobile Arena, Las Vegas, Nevada",CLEMSON,Clemson,67.2,Away,COLORADO,Colorado
2019-11-30-21-colorado,29.4,5,8.3,3,84.3,74.1,20,0.292,60,0.283,17,0.233,14,0.714,10,1,200,64.3,20.0,8,26,45,,11.4,8,0.133,8,0.125,1,41.8,28,0.338,14.3,11,52,0.308,16,0.8,4,"November 30, 2019",50.0,10,11.5,6,64.3,80.0,32,0.467,45,0.444,20,0.578,26,0.654,17,0,200,84.3,25.9,7,14,59,21,7.1,5,0.2,9,0.222,2,58.2,39,0.514,25.2,19,36,0.5,18,1.0,6,"Coors Events/Conference Center, Boulder, Colorado",SACRAMENTO-STATE,Sacramento State,69.5,Home,COLORADO,Colorado
2019-12-04-22-colorado,25.9,7,12.5,4,104.1,63.6,21,0.548,52,0.519,27,0.327,17,0.412,7,5,200,87.7,23.3,7,29,64,,17.8,13,0.173,9,0.333,3,44.4,28,0.533,23.2,18,43,0.558,24,0.375,3,"December 4, 2019",40.9,9,20.9,9,87.7,76.7,23,0.481,53,0.415,22,0.623,33,0.758,25,0,200,104.1,36.4,12,16,76,20,6.8,5,0.396,21,0.333,7,55.6,35,0.553,21.0,18,32,0.469,15,1.0,7,"Coors Events/Conference Center, Boulder, Colorado",LOYOLA-MARYMOUNT,Loyola Marymount,72.9,Home,COLORADO,Colorado
2019-12-07-19-kansas,38.9,7,0.0,0,100.0,67.9,19,0.358,60,0.3,18,0.35,21,0.714,15,1,200,80.6,33.3,14,15,58,20,15.3,11,0.567,34,0.206,7,47.1,33,0.414,18.8,16,26,0.423,11,0.875,7,"December 7, 2019",51.9,14,15.4,4,80.6,66.7,28,0.588,51,0.529,27,0.373,19,0.632,12,1,200,100.0,32.1,9,19,72,2,12.5,9,0.255,13,0.462,6,52.9,37,0.6,26.1,21,38,0.553,21,0.875,7,"Allen Fieldhouse, Lawrence, Kansas",COLORADO,Colorado,72.0,Home,KANSAS,Kansas
2019-12-10-21-colorado,70.4,19,9.1,3,111.8,71.4,15,0.586,58,0.466,27,0.241,14,0.786,11,1,200,116.2,46.7,14,19,79,,11.8,8,0.448,26,0.538,14,56.9,29,0.611,20.0,16,32,0.406,13,0.9,9,"December 10, 2019",52.0,13,3.1,1,116.2,53.3,16,0.566,53,0.472,25,0.34,18,0.889,16,2,200,111.8,28.6,6,14,76,24,17.6,12,0.377,20,0.5,10,43.1,22,0.617,18.7,14,33,0.455,15,0.778,7,"Coors Events/Conference Center, Boulder, Colorado",COLORADO,Colorado,68.1,Away,NORTHERN-IOWA,Northern Iowa
2019-12-13-20-colorado-state,76.5,13,12.5,5,68.6,80.5,33,0.467,45,0.378,17,0.444,20,0.7,14,2,200,80.0,23.1,6,16,56,24,7.1,5,0.4,18,0.444,8,58.2,39,0.514,25.1,18,27,0.333,9,0.8,8,"December 13, 2019",50.0,9,14.8,4,80.0,76.9,20,0.306,62,0.29,18,0.226,14,0.714,10,6,200,68.6,19.5,8,17,48,,15.7,11,0.355,22,0.091,2,41.8,28,0.35,15.0,12,40,0.4,16,0.538,7,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,69.6,Away,COLORADO,Colorado
2019-12-19-20-colorado,36.0,9,3.1,1,110.7,65.2,15,0.375,68,0.368,25,0.309,21,0.619,13,8,200,85.3,20.0,8,21,64,,14.7,11,0.132,9,0.111,1,36.5,23,0.41,7.2,6,59,0.407,24,0.273,3,"December 19, 2019",69.2,18,13.6,8,85.3,80.0,32,0.548,52,0.5,26,0.538,28,0.929,26,2,200,110.7,34.8,8,18,83,,2.7,2,0.385,20,0.25,5,63.5,40,0.636,19.9,16,32,0.656,21,0.818,9,"Coors Events/Conference Center, Boulder, Colorado",PRAIRIE-VIEW,Prairie View,74.6,Home,COLORADO,Colorado
2019-12-21-18-colorado,46.9,15,9.3,4,105.4,63.2,24,0.555,64,0.5,32,0.109,7,0.714,5,2,225,102.7,25.0,8,16,76,13,8.1,6,0.297,19,0.368,7,45.7,32,0.564,17.3,14,45,0.556,25,0.818,9,"December 21, 2019",55.6,15,4.4,2,102.7,75.0,24,0.449,68,0.397,27,0.309,21,0.81,17,2,225,105.4,36.8,14,12,78,,8.1,6,0.368,25,0.28,7,54.3,38,0.5,11.5,10,43,0.465,20,0.833,10,"United Center, Chicago, Illinois",DAYTON,Dayton,65.5,Home,COLORADO,Colorado
2019-11-05-20-lafayette,26.1,6,3.3,1,94.2,78.3,18,0.418,61,0.377,23,0.262,16,0.75,12,1,200,91.3,25.7,9,10,63,,8.7,6,0.311,19,0.263,5,46.6,27,0.459,13.9,11,42,0.429,18,0.0,0,"November 5, 2019",50.0,13,16.7,7,91.3,74.3,26,0.6,50,0.52,26,0.1,5,1.0,5,0,200,94.2,21.7,5,16,65,,8.7,6,0.4,20,0.4,8,53.4,31,0.621,27.7,20,30,0.6,18,1.0,1,"Kirby Sports Center, Easton, Pennsylvania",COLUMBIA,Columbia,69.0,Home,LAFAYETTE,Lafayette
2019-11-10-14-wake-forest,40.0,10,9.6,5,84.4,77.8,35,0.444,63,0.397,25,0.143,9,0.778,7,2,200,81.8,8.1,3,24,63,,10.4,8,0.413,26,0.231,6,46.3,38,0.468,14.1,11,37,0.514,19,0.0,0,"November 10, 2019",36.4,8,2.7,1,81.8,91.9,34,0.371,62,0.355,22,0.468,29,0.655,19,1,200,84.4,22.2,10,15,65,,3.9,3,0.161,10,0.2,2,53.7,44,0.429,14.8,13,52,0.385,20,0.5,1,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",COLUMBIA,Columbia,77.0,Home,WAKE-FOREST,Wake Forest
2019-11-13-19-columbia,36.4,8,17.6,6,105.6,77.4,24,0.464,55,0.4,22,0.309,17,0.706,12,3,200,88.7,20.6,7,16,63,,7.0,5,0.418,23,0.304,7,47.7,31,0.499,17.2,13,32,0.469,15,0.0,0,"November 13, 2019",51.9,14,12.5,4,88.7,79.4,27,0.551,59,0.458,27,0.288,17,0.588,10,2,200,105.6,22.6,7,13,75,,7.0,5,0.424,25,0.44,11,52.3,34,0.559,15.3,12,34,0.471,16,0.333,1,"Levien Gym, New York, New York",BINGHAMTON,Binghamton,70.6,Home,COLUMBIA,Columbia
2019-11-16-12-virginia,43.8,7,9.1,4,95.2,66.7,22,0.339,56,0.286,16,0.107,6,0.667,4,3,200,66.7,27.8,10,13,42,,6.3,4,0.375,21,0.286,6,46.4,32,0.357,18.1,13,35,0.286,10,0.25,1,"November 16, 2019",41.7,10,25.7,9,66.7,72.2,26,0.449,59,0.407,24,0.237,14,0.5,7,0,200,95.2,33.3,11,9,60,9,12.7,8,0.254,15,0.333,5,53.6,37,0.457,12.1,9,44,0.432,19,1.0,3,"John Paul Jones Arena, Charlottesville, Virginia",COLUMBIA,Columbia,62.8,Home,VIRGINIA,Virginia
2019-11-20-19-st-johns-ny,38.5,10,3.5,2,106.5,68.3,28,0.449,69,0.377,26,0.043,3,0.333,1,4,200,81.8,20.0,8,16,63,,5.2,4,0.435,30,0.333,10,44.4,36,0.447,18.5,16,39,0.41,16,0.2,1,"November 20, 2019",41.9,13,12.8,5,81.8,80.0,32,0.479,72,0.431,31,0.264,19,0.684,13,1,200,106.5,31.7,13,10,82,,13.0,10,0.208,15,0.467,7,55.6,45,0.506,9.1,8,57,0.421,24,0.8,4,"Carnesecca Arena, Jamaica, New York",COLUMBIA,Columbia,77.2,Home,ST-JOHNS-NY,St. John's (NY)
2019-11-23-17-columbia,37.5,12,10.8,4,79.7,81.1,30,0.565,62,0.516,32,0.403,25,0.68,17,2,200,110.1,23.3,7,8,87,,10.1,8,0.242,15,0.4,6,55.2,37,0.589,13.1,11,47,0.553,26,0.6,3,"November 23, 2019",64.0,16,8.5,4,110.1,76.7,23,0.443,70,0.357,25,0.043,3,0.333,1,5,200,79.7,18.9,7,23,63,,6.3,5,0.471,33,0.364,12,44.8,30,0.441,18.3,16,37,0.351,13,0.167,1,"Mohegan Sun Arena, Uncasville, Connecticut",COLUMBIA,Columbia,79.2,Away,RIDER,Rider
2019-11-24-18-central-connecticut-state,56.3,18,14.3,5,77.6,92.1,35,0.636,59,0.542,32,0.153,9,0.778,7,5,200,122.4,25.0,6,11,82,,4.5,3,0.458,27,0.407,11,66.1,41,0.648,13.7,10,32,0.656,21,0.286,2,"November 24, 2019",40.0,8,6.3,2,122.4,75.0,18,0.412,57,0.351,20,0.193,11,0.455,5,7,200,77.6,7.9,3,12,52,,7.5,5,0.386,22,0.318,7,33.9,21,0.418,10.2,7,35,0.371,13,0.0,0,"Mohegan Sun Arena, Uncasville, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,66.8,Away,COLUMBIA,Columbia
2019-11-30-16-columbia,27.6,8,6.1,2,98.6,83.3,25,0.508,62,0.468,29,0.032,2,0.5,1,5,200,92.8,18.5,5,19,64,,5.8,4,0.306,19,0.263,5,52.6,30,0.508,16.0,12,43,0.558,24,0.375,3,"November 30, 2019",46.2,12,14.0,6,92.8,81.5,22,0.555,55,0.473,26,0.218,12,0.583,7,5,200,98.6,16.7,5,9,68,,7.2,5,0.4,22,0.409,9,47.4,27,0.56,16.6,12,33,0.515,17,0.375,3,"Levien Gym, New York, New York",LEHIGH,Lehigh,68.8,Home,COLUMBIA,Columbia
2019-12-02-19-delaware,51.7,15,0.0,0,116.7,88.5,23,0.523,64,0.453,29,0.188,12,0.75,9,6,200,105.6,12.1,4,14,76,,9.7,7,0.406,26,0.346,9,45.8,27,0.545,10.4,8,38,0.526,20,0.333,3,"December 2, 2019",41.4,12,5.3,2,105.6,87.9,29,0.62,54,0.537,29,0.352,19,0.895,17,0,200,116.7,11.5,3,9,84,,2.8,2,0.37,20,0.45,9,54.2,32,0.666,13.8,10,34,0.588,20,1.0,9,"Bob Carpenter Center, Newark, Delaware",COLUMBIA,Columbia,71.9,Home,DELAWARE,Delaware
2019-12-06-19-bryant,70.8,17,8.3,3,91.8,76.2,32,0.45,60,0.4,24,0.283,17,0.647,11,7,200,89.0,17.1,6,18,65,,2.7,2,0.333,20,0.3,6,49.4,38,0.477,14.0,11,40,0.45,18,0.3,3,"December 6, 2019",44.4,12,15.0,6,89.0,82.9,29,0.45,70,0.386,27,0.186,13,0.308,4,4,200,91.8,23.8,10,20,67,,6.8,5,0.486,34,0.265,9,50.6,39,0.44,8.5,7,36,0.5,18,0.6,6,"Chace Athletic Center , Smithfield, Rhode Island",COLUMBIA,Columbia,73.1,Home,BRYANT,Bryant
2019-12-09-19-duquesne,61.1,11,2.9,1,126.8,73.1,19,0.394,52,0.346,18,0.404,21,0.619,13,8,200,76.1,22.2,8,11,54,,7.0,5,0.404,21,0.238,5,43.5,27,0.436,21.7,17,31,0.419,13,0.273,3,"December 9, 2019",63.2,24,29.0,9,76.1,77.8,28,0.662,65,0.585,38,0.077,5,0.8,4,0,200,126.8,26.9,7,15,90,,9.9,7,0.462,30,0.333,10,56.5,35,0.668,13.0,10,35,0.8,28,1.0,8,,COLUMBIA,Columbia,70.7,Home,DUQUESNE,Duquesne
2019-12-22-12-colgate,50.0,13,9.4,3,121.9,82.1,23,0.454,65,0.4,26,0.231,15,0.8,12,9,200,97.3,24.3,9,14,71,,6.8,5,0.4,26,0.269,7,49.2,32,0.492,12.3,10,39,0.487,19,0.25,3,"December 22, 2019",67.6,23,12.8,5,97.3,75.7,28,0.641,64,0.531,34,0.156,10,0.7,7,4,200,121.9,17.9,5,16,89,,8.2,6,0.5,32,0.438,14,50.8,33,0.647,12.8,10,32,0.625,20,0.692,9,"Cotterell Court, Hamilton, New York",COLUMBIA,Columbia,73.4,Home,COLGATE,Colgate
2019-11-08-19-connecticut,42.1,8,1.8,1,107.2,64.1,25,0.333,63,0.302,19,0.413,26,0.962,25,2,200,80.7,40.0,16,21,67,,2.4,2,0.365,23,0.174,4,51.9,41,0.445,24.4,24,40,0.375,15,0.0,0,"November 8, 2019",47.1,16,22.5,9,80.7,60.0,24,0.487,75,0.453,34,0.293,22,0.727,16,0,200,107.2,35.9,14,24,89,,12.0,10,0.253,19,0.263,5,48.1,38,0.521,11.5,11,56,0.518,29,1.0,1,"Harry A. Gampel Pavilion, Storrs, Connecticut",SACRED-HEART,Sacred Heart,82.9,Home,CONNECTICUT,UConn
2019-11-13-19-connecticut,43.8,14,11.8,4,102.4,75.0,30,0.55,70,0.457,32,0.471,33,0.576,19,1,200,112.9,21.4,9,25,96,,10.6,9,0.471,33,0.394,13,47.6,39,0.56,9.6,9,37,0.514,19,0.667,2,"November 13, 2019",31.8,7,18.9,7,112.9,78.6,33,0.46,63,0.349,22,0.603,38,0.763,29,1,200,102.4,25.0,10,23,87,,5.9,5,0.46,29,0.483,14,52.4,43,0.537,14.0,13,34,0.235,8,0.5,1,"Harry A. Gampel Pavilion, Storrs, Connecticut",CONNECTICUT,UConn,84.9,Away,SAINT-JOSEPHS,St. Joseph's
2019-11-17-15-connecticut,40.9,9,8.1,3,93.9,71.8,28,0.445,55,0.4,22,0.236,13,0.769,10,2,200,89.4,19.4,6,21,59,15,6.1,4,0.364,20,0.25,5,48.6,34,0.482,14.1,10,35,0.486,17,0.5,2,"November 17, 2019",52.4,11,11.4,4,89.4,80.6,25,0.39,59,0.356,21,0.373,22,0.727,16,1,200,93.9,28.2,11,14,62,,10.6,7,0.373,22,0.182,4,51.4,36,0.446,11.6,9,37,0.459,17,0.667,2,"Harry A. Gampel Pavilion, Storrs, Connecticut",FLORIDA,Florida,66.3,Home,CONNECTICUT,UConn
2019-11-21-21-connecticut,34.6,9,15.9,7,102.6,71.1,27,0.396,72,0.361,26,0.181,13,0.846,11,2,200,88.3,26.1,12,20,68,,14.3,11,0.333,24,0.208,5,46.4,39,0.435,10.4,9,48,0.438,21,0.5,2,"November 21, 2019",46.7,14,14.6,7,88.3,73.9,34,0.54,62,0.484,30,0.339,21,0.571,12,1,200,102.6,28.9,11,12,79,,6.5,5,0.29,18,0.389,7,53.6,45,0.549,19.3,17,44,0.523,23,0.75,3,"TD Arena, Charleston, South Carolina",BUFFALO,Buffalo,76.6,Home,CONNECTICUT,UConn
2019-11-22-21-connecticut,48.0,12,19.1,9,86.0,70.5,31,0.447,66,0.379,25,0.394,26,0.615,16,0,250,87.2,33.3,13,26,75,18,8.1,7,0.364,24,0.375,9,53.0,44,0.479,21.3,21,42,0.381,16,1.0,6,"November 22, 2019",47.6,10,14.3,6,87.2,66.7,26,0.35,70,0.3,21,0.386,27,0.926,25,2,250,86.0,29.5,13,24,74,,9.3,8,0.329,23,0.304,7,47.0,39,0.447,15.5,15,47,0.298,14,0.6,3,"TD Arena, Charleston, South Carolina",CONNECTICUT,UConn,68.5,Away,XAVIER,Xavier
2019-11-24-13-connecticut,52.0,13,9.8,4,129.0,64.3,18,0.5,54,0.463,25,0.037,2,0.5,1,3,200,88.7,14.8,4,14,55,,6.5,4,0.185,10,0.4,4,40.0,22,0.5,16.7,11,44,0.477,21,0.571,4,"November 24, 2019",53.1,17,20.5,9,88.7,85.2,23,0.592,60,0.533,32,0.2,12,0.75,9,2,200,129.0,35.7,10,10,80,,8.1,5,0.317,19,0.368,7,60.0,33,0.609,8.4,6,41,0.61,25,0.667,4,"TD Arena, Charleston, South Carolina",MIAMI-FL,Miami (FL),61.8,Home,CONNECTICUT,UConn
2019-12-01-13-connecticut,78.6,11,23.7,9,97.0,77.8,28,0.4,40,0.35,14,0.275,11,0.727,8,5,200,60.6,23.8,5,14,40,,7.6,5,0.4,16,0.25,4,57.9,33,0.442,35.8,25,24,0.417,10,0.286,2,"December 1, 2019",50.0,11,8.3,2,60.6,76.2,16,0.431,58,0.379,22,0.31,18,0.778,14,2,200,97.0,22.2,8,14,64,,19.7,13,0.345,20,0.3,6,42.1,24,0.481,10.8,8,38,0.421,16,0.714,5,"XL Center, Hartford, Connecticut",MAINE,Maine,65.9,Home,CONNECTICUT,UConn
2019-12-04-19-connecticut,29.2,7,4.4,2,112.7,52.8,19,0.441,59,0.407,24,0.22,13,0.769,10,3,200,87.3,26.5,9,17,62,,12.7,9,0.322,19,0.211,4,40.0,28,0.476,18.8,15,40,0.5,20,0.4,2,"December 4, 2019",60.0,18,20.0,8,87.3,73.5,25,0.531,64,0.469,30,0.313,20,0.6,12,2,200,112.7,47.2,17,16,80,,5.6,4,0.297,19,0.421,8,60.0,42,0.544,17.1,15,45,0.489,22,0.75,6,"Harry A. Gampel Pavilion, Storrs, Connecticut",IONA,Iona,71.3,Home,CONNECTICUT,UConn
2019-12-10-21-connecticut,66.7,14,10.0,3,76.1,72.0,18,0.386,57,0.368,21,0.316,18,0.722,13,1,200,80.3,23.5,8,15,57,,14.1,10,0.228,13,0.154,2,44.1,26,0.435,16.7,13,44,0.432,19,0.9,9,"December 10, 2019",71.4,15,18.2,8,80.3,76.5,26,0.471,51,0.412,21,0.196,10,0.6,6,3,200,76.1,28.0,7,20,54,,7.0,5,0.412,21,0.286,6,55.9,33,0.484,28.4,22,30,0.5,15,0.667,6,"Madison Square Garden (IV), New York, New York",CONNECTICUT,UConn,70.7,Away,INDIANA,Indiana
2019-12-18-19-connecticut,36.8,7,7.7,2,94.3,61.9,13,0.448,48,0.396,19,0.354,17,0.765,13,5,200,80.0,37.9,11,21,56,,22.9,16,0.167,8,0.625,5,48.0,24,0.499,30.2,24,40,0.35,14,0.375,3,"December 18, 2019",56.5,13,25.0,10,80.0,62.1,18,0.616,43,0.535,23,0.442,19,0.684,13,3,200,94.3,38.1,8,17,66,,17.1,12,0.395,17,0.412,7,52.0,26,0.634,33.6,26,26,0.615,16,0.7,7,"XL Center, Hartford, Connecticut",SAINT-PETERS,St. Peter's,69.6,Home,CONNECTICUT,UConn
2019-12-22-13-connecticut,55.0,11,3.2,1,125.7,70.8,17,0.48,49,0.408,20,0.408,20,0.75,15,6,200,88.6,16.7,5,19,62,,2.9,2,0.429,21,0.333,7,40.7,22,0.53,22.7,17,28,0.464,13,0.5,6,"December 22, 2019",53.3,16,7.1,2,88.6,83.3,25,0.645,55,0.545,30,0.455,25,0.68,17,3,200,125.7,29.2,7,19,88,,5.7,4,0.436,24,0.458,11,59.3,32,0.658,13.2,10,31,0.613,19,0.727,8,"XL Center, Hartford, Connecticut",NEW-HAMPSHIRE,New Hampshire,70.2,Home,CONNECTICUT,UConn
2019-11-05-19-coppin-state,56.7,17,0.0,0,92.3,78.3,36,0.54,62,0.484,30,0.565,35,0.686,24,0,200,100.0,27.8,10,19,91,,7.7,7,0.306,19,0.368,7,56.1,46,0.579,23.7,24,43,0.535,23,1.0,1,"November 5, 2019",53.6,15,7.0,3,100.0,72.2,26,0.446,74,0.378,28,0.324,24,0.75,18,1,200,92.3,21.7,10,28,84,,12.1,11,0.527,39,0.256,10,43.9,36,0.492,14.2,14,35,0.514,18,0.0,0,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,91.0,Away,RIDER,Rider
2019-11-08-19-virginia-tech,42.9,6,3.6,1,93.7,85.3,29,0.239,71,0.197,14,0.155,11,0.727,8,2,200,53.2,20.0,11,14,42,,10.1,8,0.549,39,0.154,6,44.9,40,0.276,17.4,16,32,0.25,8,0.0,0,"November 8, 2019",63.0,17,15.6,5,53.2,80.0,44,0.533,61,0.443,27,0.197,12,0.75,9,0,200,93.7,14.7,5,13,74,,8.9,7,0.541,33,0.333,11,55.1,49,0.555,18.5,15,28,0.571,16,1.0,2,"Cassell Coliseum, Blacksburg, Virginia",COPPIN-STATE,Coppin State,79.0,Home,VIRGINIA-TECH,Virginia Tech
2019-11-12-20-loyola-il,30.4,7,12.1,4,94.7,80.0,28,0.466,58,0.397,23,0.483,28,0.786,22,2,200,100.0,25.0,9,26,76,,7.9,6,0.31,18,0.444,8,52.1,37,0.533,15.6,13,40,0.375,15,0.333,1,"November 12, 2019",73.9,17,10.0,4,100.0,75.0,27,0.463,54,0.426,23,0.63,34,0.647,22,2,200,94.7,20.0,7,19,72,,11.8,9,0.389,21,0.19,4,47.9,34,0.513,16.9,14,33,0.576,19,0.333,1,"Joseph J. Gentile Center, Chicago, Illinois",LOYOLA-IL,Loyola (IL),76.2,Away,COPPIN-STATE,Coppin State
2019-11-15-19-northern-illinois,39.1,9,7.9,3,98.8,61.5,24,0.452,62,0.371,23,0.323,20,0.65,13,3,200,84.1,17.9,7,28,69,,8.5,7,0.597,37,0.27,10,39.7,31,0.483,19.4,17,25,0.52,13,0.25,1,"November 15, 2019",41.7,10,12.0,3,84.1,82.1,32,0.451,61,0.393,24,0.557,34,0.765,26,2,200,98.8,38.5,15,16,81,,6.1,5,0.377,23,0.304,7,60.3,47,0.525,20.8,20,38,0.447,17,0.333,1,"Convocation Center, DeKalb, Illinois",COPPIN-STATE,Coppin State,81.8,Home,NORTHERN-ILLINOIS,Northern Illinois
2019-11-17-14-northern-kentucky,30.8,8,7.1,2,106.5,64.7,22,0.432,66,0.394,26,0.303,20,0.65,13,4,200,90.9,23.1,9,18,70,,7.8,6,0.394,26,0.192,5,42.5,31,0.464,15.8,14,40,0.525,21,0.2,1,"November 17, 2019",70.0,21,10.0,4,90.9,76.9,30,0.587,63,0.476,30,0.254,16,0.5,8,1,200,106.5,35.3,12,16,82,,10.4,8,0.556,35,0.4,14,57.5,42,0.581,17.6,15,28,0.571,16,0.75,3,"Bank of Kentucky Center, Highland Heights, Kentucky",COPPIN-STATE,Coppin State,77.1,Home,NORTHERN-KENTUCKY,Northern Kentucky
2019-11-19-22-pacific,40.0,8,0.0,0,86.5,63.2,24,0.42,56,0.357,20,0.411,23,0.565,13,5,200,81.1,18.9,7,23,60,,9.5,7,0.464,26,0.269,7,41.3,31,0.448,16.4,13,30,0.433,13,0.167,1,"November 19, 2019",50.0,11,10.0,3,81.1,81.1,30,0.405,58,0.379,22,0.414,24,0.708,17,2,200,86.5,36.8,14,19,64,,2.7,2,0.397,23,0.13,3,58.7,44,0.461,21.7,19,35,0.543,19,0.714,5,"A.G. Spanos Center, Stockton, California",COPPIN-STATE,Coppin State,73.7,Home,PACIFIC,Pacific
2019-11-23-19-coppin-state,69.6,16,2.8,1,85.0,73.0,27,0.335,79,0.291,23,0.241,19,0.684,13,5,225,82.5,42.0,21,14,66,,17.5,14,0.43,34,0.206,7,55.2,48,0.375,14.7,15,45,0.356,16,0.167,1,"November 23, 2019",46.2,12,17.8,8,82.5,58.0,29,0.492,62,0.419,26,0.226,14,0.5,7,5,225,85.0,27.0,10,15,68,,13.8,11,0.419,26,0.346,9,44.8,39,0.495,22.7,20,36,0.472,17,0.286,2,"Physical Education Complex, Baltimore, Maryland",CORNELL,Cornell,71.4,Home,COPPIN-STATE,Coppin State
