,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2019-12-18-20-new-orleans,75.0,18,7.7,3,91.0,84.6,22,0.55,50,0.48,24,0.6,30,0.733,22,5,200,98.7,27.6,8,22,77,,14.1,11,0.3,15,0.467,7,54.5,30,0.599,24.9,21,35,0.486,17,0.545,6,"December 18, 2019",59.1,13,11.4,4,98.7,72.4,21,0.49,48,0.458,22,0.542,26,0.923,24,6,200,91.0,15.4,4,27,71,,12.8,10,0.188,9,0.333,3,45.5,25,0.588,27.0,22,39,0.487,19,0.4,4,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,77.8,Away,ABILENE-CHRISTIAN,Abilene Christian
2019-12-21-20-abilene-christian,22.2,4,5.4,2,102.6,74.1,20,0.375,52,0.346,18,0.577,30,0.733,22,6,200,79.2,31.4,11,20,61,,14.3,11,0.346,18,0.167,3,50.0,31,0.46,25.2,22,34,0.441,15,0.538,7,"December 21, 2019",73.3,22,14.7,5,79.2,68.6,24,0.582,55,0.545,30,0.345,19,0.789,15,5,200,102.6,25.9,7,25,79,,14.3,11,0.327,18,0.222,4,50.0,31,0.617,23.1,19,37,0.703,26,0.583,7,"Moody Coliseum , Abilene, Texas",NICHOLLS-STATE,Nicholls State,76.6,Home,ABILENE-CHRISTIAN,Abilene Christian
2019-11-07-21-air-force,46.4,13,4.9,2,111.3,73.1,19,0.607,56,0.5,28,0.446,25,0.84,21,1,200,125.4,29.6,8,23,89,,9.9,7,0.518,29,0.414,12,50.9,27,0.656,14.1,11,27,0.593,16,0.5,1,"November 7, 2019",18.5,5,11.1,3,125.4,70.4,19,0.529,52,0.519,27,0.519,27,0.889,24,1,200,111.3,26.9,7,24,79,,7.0,5,0.212,11,0.091,1,49.1,26,0.609,16.9,13,41,0.634,26,0.0,0,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,70.9,Away,IDAHO-STATE,Idaho State
2019-11-09-16-air-force,31.0,9,18.2,4,111.4,75.0,21,0.477,64,0.453,29,0.313,20,0.5,10,1,200,101.4,22.2,8,24,71,,7.1,5,0.281,18,0.167,3,45.3,29,0.483,7.6,6,46,0.565,26,0.5,1,"November 9, 2019",72.7,16,10.9,5,101.4,77.8,28,0.583,48,0.458,22,0.646,31,0.71,22,1,200,111.4,25.0,7,21,78,,2.9,2,0.542,26,0.462,12,54.7,35,0.622,16.3,12,22,0.455,10,0.5,1,"Clune Arena , Colorado Springs, Colorado",TEXAS-STATE,Texas State,69.6,Home,AIR-FORCE,Air Force
2019-11-12-19-army,47.8,11,6.5,2,77.0,90.9,30,0.491,56,0.411,23,0.321,18,0.778,14,1,200,93.2,12.1,4,10,69,,12.2,9,0.446,25,0.36,9,51.5,34,0.534,16.9,13,31,0.452,14,0.667,2,"November 12, 2019",58.3,14,3.2,1,93.2,87.9,29,0.457,58,0.414,24,0.172,10,0.4,4,2,200,77.0,9.1,3,18,57,,9.5,7,0.466,27,0.185,5,48.5,32,0.454,18.3,14,31,0.613,19,0.333,1,"Christl Arena, West Point, New York",ARMY,Army,73.7,Away,AIR-FORCE,Air Force
2019-11-18-21-texas-christian,75.0,15,8.8,3,101.6,64.5,20,0.489,47,0.426,20,0.234,11,0.727,8,2,200,84.4,14.8,4,15,54,,4.7,3,0.426,20,0.3,6,41.4,24,0.517,24.7,17,27,0.519,14,0.5,2,"November 18, 2019",60.0,15,11.1,3,84.4,85.2,23,0.483,59,0.424,25,0.186,11,0.727,8,0,200,101.6,35.5,11,13,65,,15.6,10,0.424,25,0.28,7,58.6,34,0.506,12.4,9,34,0.529,18,1.0,3,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",AIR-FORCE,Air Force,63.7,Home,TEXAS-CHRISTIAN,TCU
2019-11-21-16-loyola-marymount,73.7,14,0.0,0,127.9,70.6,12,0.478,46,0.413,19,0.587,27,0.741,20,3,201,104.9,23.1,6,14,64,,1.6,1,0.478,22,0.273,6,41.9,18,0.544,16.0,11,24,0.542,13,0.4,2,"November 21, 2019",56.7,17,4.2,1,104.9,76.9,20,0.719,48,0.625,30,0.313,15,0.6,9,2,201,127.9,29.4,5,22,78,,3.3,2,0.375,18,0.5,9,58.1,25,0.707,12.8,8,30,0.7,21,0.5,2,"Gateway Christian Academy, Bimini",AIR-FORCE,Air Force,60.7,Home,LOYOLA-MARYMOUNT,Loyola Marymount
2019-11-22-18-air-force,53.6,15,18.9,7,96.9,90.6,29,0.583,54,0.519,28,0.222,12,0.5,6,0,200,106.2,19.2,5,19,69,,4.6,3,0.426,23,0.304,7,58.6,34,0.578,11.9,8,31,0.677,21,1.0,5,"November 22, 2019",36.4,8,0.0,0,106.2,80.8,21,0.454,54,0.407,22,0.389,21,0.667,14,4,200,96.9,9.4,3,16,63,,4.6,3,0.315,17,0.294,5,41.4,24,0.492,10.0,7,37,0.459,17,0.333,2,"Gateway Christian Academy, Bimini",AIR-FORCE,Air Force,65.3,Away,DUQUESNE,Duquesne
2019-11-24-16-indiana-state,40.0,10,0.0,0,120.0,88.2,15,0.5,56,0.446,25,0.464,26,0.692,18,5,200,105.7,21.9,7,22,74,,10.0,7,0.411,23,0.261,6,44.9,22,0.541,11.8,9,33,0.576,19,0.286,2,"November 24, 2019",100.0,26,9.1,3,105.7,78.1,25,0.728,46,0.565,26,0.478,22,0.773,17,4,200,120.0,11.8,2,26,84,,5.7,4,0.565,26,0.577,15,55.1,27,0.744,21.2,15,20,0.55,11,0.333,2,"Gateway Christian Academy, Bimini",AIR-FORCE,Air Force,69.9,Home,INDIANA-STATE,Indiana State
2019-12-01-16-air-force,60.0,12,0.0,0,111.8,83.3,15,0.422,58,0.345,20,0.103,6,0.5,3,7,200,76.5,14.3,5,19,52,,13.2,9,0.552,32,0.281,9,37.7,20,0.427,17.7,13,26,0.423,11,0.0,0,"December 1, 2019",65.4,17,3.8,1,76.5,85.7,30,0.693,44,0.591,26,0.409,18,0.833,15,5,200,111.8,16.7,3,11,76,,8.8,6,0.432,19,0.474,9,62.3,33,0.723,24.7,17,25,0.68,17,0.375,3,"Clune Arena , Colorado Springs, Colorado",JACKSON-STATE,Jackson State,67.7,Home,AIR-FORCE,Air Force
